OBJECT_NAME,FIELD_NAME,OBJECT_LABEL,FIELD_LABEL,FIELD_TYPE,FIELD_LENGTH,CREATEABLE,CALCULATED,PICKLIST,REFERENCE
"McLabs2__Property__c","McLabs2__Loan_Amortization__c","Property","Loan Amortization","double","0","true","false","",""
"McLabs2__Property__c","McLabs2__Loan_Maturity_Date__c","Property","Loan Maturity Date","date","0","true","false","",""
"McLabs2__Property__c","McLabs2__LTV__c","Property","LTV","percent","0","true","false","",""
"McLabs2__Property__c","McLabs2__Loan_Principal__c","Property","Loan Principal","currency","0","true","false","",""
"McLabs2__Property__c","McLabs2__Market__c","Property","Market","picklist","255","true","false","AK-Anchorage|AL-Birmingham|AL-Huntsville|AL-Mobile|AL-Montgomery|AR-Fayetteville/Springdale/Rogers|AR-Fort Smith|AR-Little Rock/N Little Rock|AZ-Phoenix|AZ-Tucson|CA-Bakersfield|CA-East Bay/Oakland|CA-Fresno|CA-Inland Empire|CA-Los Angeles|CA-Marin/Sonoma|CA-Orange County|CA-Sacramento|CA-Salinas|CA-San Diego|CA-San Francisco|CA-San Luis Obispo/Paso Robles|CA-Santa Barbara/Sta Maria/Goleta|CA-Santa Cruz/Watsonville|CA-South Bay/San Jose|CA-Stockton/Modesto|CA-Visalia/Porterville|CO-Colorado Springs|CO-Denver|CT-Hartford|DC-Washington|FL-Deltona/Daytona Beach|FL-Jacksonville|FL-Ocala|FL-Orlando|FL-Pensacola/Ferry Pass/Brent|FL-Port St Lucie/Fort Pierce|FL-South Florida|FL-Southwest Florida|FL-Tallahassee|FL-Tampa/St. Petersburg|GA-Atlanta|GA-Augusta/Richmond County|GA-Columbus|GA-Savannah|HI-Hawaii|IA-Des Moines|ID-Boise City/Nampa|IL-Chicago|IL-Davenport/Moline/Rock Island|IL-Peoria|IL-Springfield|IN-Evansville|IN-Fort Wayne|IN-Indianapolis|IN-South Bend/Mishawaka|KS-Kansas City|KS-Wichita|KY-Lexington/Fayette|KY-Louisville|LA-Baton Rouge|LA-Lafayette|LA-New Orleans/Metairie/Kenner|LA-Shreveport/Bossier City|MA-Boston|MD-Baltimore|ME-Portland/South Portland|MI-Detroit|MI-Grand Rapids|MN-Duluth|MN-Minneapolis|MO-St. Louis|MS-Jackson|National|NC-Asheville|NC-Charlotte|NC-Fayetteville|NC-Greensboro/Winston-Salem|NC-Raleigh/Durham|NC-Wilmington|NE-Lincoln|NE-Omaha/Council Bluffs|NJ-Northern New Jersey|NM-Albuquerque|NV-Las Vegas|NV-Reno/Sparks|NY-Albany/Schenectady/Troy|NY-Buffalo/Niagara Falls|NY-Long Island|NY-New York City|NY-Rochester|NY-Syracuse|NY-Utica/Rome|OH-Cincinnati/Dayton|OH-Cleveland|OH-Columbus|OH-Toledo|OH-Youngstown/Warren|OK-Oklahoma City|OK-Tulsa|OR-Portland|PA-Erie|PA-Philadelphia|PA-Pittsburgh|RI-Providence|SC-Charleston/N Charleston|SC-Columbia|SC-Greenville/Spartanburg|SC-Myrtle Beach/Conway|TN-Chattanooga|TN-Kingsport/Bristol/Bristol|TN-Knoxville|TN-Memphis|TN-Nashville|TX-Austin|TX-Beaumont/Port Arthur|TX-Brownsville/Harlingen|TX-Corpus Christi|TX-Dallas/Fort Worth|TX-El Paso|TX-Houston|TX-Killeen/Temple/Fort Hood|TX-Lubbock|TX-McAllen/Edinburg/Pharr|TX-San Antonio|UT-Salt Lake City|VA-Hampton Roads|VA-Richmond|VA-Roanoke|WA-Bremerton|WA-Olympia|WA-Seattle/Puget Sound|WA-Spokane|WA-Yakima|WI-Green Bay|WI-Milwaukee/Madison|WV-Charleston|WV-Huntington/Ashland",""
"McLabs2__Property__c","McLabs2__Number_of_Stories__c","Property","Number of Stories","double","0","true","false","",""
"McLabs2__Property__c","McLabs2__OSF_ID__c","Property","External ID","string","255","true","false","",""
"McLabs2__Property__c","McLabs2__Occupancy__c","Property","Occupancy (%)","percent","0","true","false","",""
"McLabs2__Property__c","McLabs2__Longitude__c","Property","Longitude","double","0","true","false","",""
"McLabs2__Property__c","McLabs2__Ownership_Entity__c","Property","Ownership Entity","string","99","true","false","",""
"McLabs2__Property__c","McLabs2__Parking_Spaces__c","Property","Parking Spaces","double","0","true","false","",""
"McLabs2__Property__c","McLabs2__Power__c","Property","Power","string","20","true","false","",""
"McLabs2__Property__c","McLabs2__Operator__c","Property","Operator","string","99","true","false","",""
"McLabs2__Property__c","McLabs2__Primary_Use__c","Property","Primary Use","picklist","255","true","false","Airplane Hangar|Airport|Auto Salvage Facility|Cement or Gravel Plant|Chemical or Oil Refinery|Contractor Storage Yard|Distribution|Flex- Data Hosting|Flex-Showroom|Food Processing|Ind- Data Hosting|Ind-Showroom|Industrial Live & Work Unit|Landfill|Light Distribution|Light Manufacturing|Loft & Creative Space|Lumberyard|Manufacturing|Medical|None|Office & Residential|Office- Data Hosting|Office Live & Work Unit|Office with street-level Retail|R&D|Railroad Yard|Refrigeration & Cold Storage|Self-Storage|Service|Shipyard|Showroom|Truck Terminal|Utility Sub-Station|Warehouse|Water Treatment Facility|Auto Dealership|Auto Repair|Bank|Bar|Bowling Alley|Car Wash|Convenience Store|Day Care Center|Department Store|Drug Store|Fast Food|Freestanding|Funeral Home|Garden Center|Health Club|Movie Theatre|Parking Garage|Parking Lot|Restaurant|Service Station|Storefront|Storefront Retail & Office|Storefront Retail & Residential|Supermarket|Truck Stop|Veterinarian|Affordable|Rent Stabilized|Senior|Student|Subsidized|Full Service|Limited Service|Select Service|Extended Stay|Boutique|Timeshare|Resort|Hotel Casino|Assisted Living Facility|Independent Living Facility|Congregate Senior Housing|Acute Care Hospital|Long-term Acute Care|Rehabilitation Center|Skilled Nursing Facility|Cemetery|Correctional Facility|Marina|Movie, Radio, or TV Studio|Police or Fire Station|Post Office|Public Library|Radio or TV Transmission Facilities|Recycling Center|Religious Facility|Schools|Trailer or Camper Park|Water Retention Facility|Garden|Mid-Rise|High-Rise",""
